BEGIN BPSK
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (-1+0j)
1j (1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (1+0j)
1j (1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (-1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (-1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (-1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (-1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (-1+0j)
(-1-7.21919e-09j) (1+0j)
(-0-1j) (1+0j)
(1-0j) (1+0j)
(-7.21919e-09+1j) (-1+0j)
(-1-7.21919e-09j) (-1+0j)
(-0-1j) (-1+0j)
(1-0j) (1+0j)
(-7.21919e-09+1j) (1+0j)
(-1-7.21919e-09j) (1+0j)
(-0-1j) (-1+0j)
(1-0j) (-1+0j)
(-7.21919e-09+1j) (-1+0j)
(-1-7.21919e-09j) (-1+0j)
(-0-1j) (1+0j)
(1-0j) (1+0j)
(-7.21919e-09+1j) (1+0j)
(-1-7.21919e-09j) (-1+0j)
(-0-1j) (-1+0j)
(1-0j) (1+0j)
(-7.21919e-09+1j) (-1+0j)
(-1-7.21919e-09j) (-1+0j)
(-0-1j) (1+0j)
(1-0j) (-1+0j)
(-7.21919e-09+1j) (1+0j)
(-1-7.21919e-09j) (-1+0j)
(-0-1j) (1+0j)
(1-0j) (1+0j)
(-7.21919e-09+1j) (-1+0j)
(-1-7.21919e-09j) (-1+0j)
(-0-1j) (1+0j)
(1-0j) (-1+0j)
(-7.21919e-09+1j) (1+0j)
(-1-7.21919e-09j) (-1+0j)
(-0-1j) (1+0j)
(1-0j) (1+0j)
(-7.21919e-09+1j) (-1+0j)
(-1-7.21919e-09j) (-1+0j)
(-0-1j) (-1+0j)
(1-0j) (-1+0j)
(-7.21919e-09+1j) (1+0j)
(-1-7.21919e-09j) (-1+0j)
(-0-1j) (1+0j)
(1-0j) (-1+0j)
(-7.21919e-09+1j) (1+0j)
(-1-7.21919e-09j) (1+0j)
(-0-1j) (-1+0j)
(1-0j) (1+0j)
(-7.21919e-09+1j) (-1+0j)
(-1-7.21919e-09j) (1+0j)
(-0-1j) (-1+0j)
(1-0j) (1+0j)
(-7.21919e-09+1j) (-1+0j)
(-1-7.21919e-09j) (1+0j)
(-0-1j) (-1+0j)
(1-0j) (1+0j)
(-7.21919e-09+1j) (-1+0j)
(-1-7.21919e-09j) (1+0j)
(-0-1j) (-1+0j)
(1-0j) (-1+0j)
(-7.21919e-09+1j) (1+0j)
(-1-7.21919e-09j) (-1+0j)
(-0-1j) (1+0j)
(1-0j) (-1+0j)
(-7.21919e-09+1j) (-1+0j)
(1+7.21919e-09j) (1+0j)
1j (1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (-1+0j)
1j (-1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (1+0j)
1j (-1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (-1+0j)
1j (-1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (-1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (-1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (1+0j)
1j (-1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (-1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (-1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (1+0j)
1j (1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (1+0j)
1j (1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (-1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (-1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (-1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (1+0j)
1j (-1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (-1+0j)
1j (1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (-1+0j)
1j (-1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (1+0j)
(-1-7.21919e-09j) (1+0j)
(-0-1j) (1+0j)
(1-0j) (-1+0j)
(-7.21919e-09+1j) (1+0j)
(-1-7.21919e-09j) (-1+0j)
(-0-1j) (-1+0j)
(1-0j) (-1+0j)
(-7.21919e-09+1j) (1+0j)
(-1-7.21919e-09j) (1+0j)
(-0-1j) (1+0j)
(1-0j) (1+0j)
(-7.21919e-09+1j) (1+0j)
(-1-7.21919e-09j) (1+0j)
(-0-1j) (-1+0j)
(1-0j) (1+0j)
(-7.21919e-09+1j) (1+0j)
(-1-7.21919e-09j) (-1+0j)
(-0-1j) (-1+0j)
(1-0j) (-1+0j)
(-7.21919e-09+1j) (-1+0j)
(-1-7.21919e-09j) (1+0j)
(-0-1j) (1+0j)
(1-0j) (-1+0j)
(-7.21919e-09+1j) (-1+0j)
(-1-7.21919e-09j) (1+0j)
(-0-1j) (1+0j)
(1-0j) (1+0j)
(-7.21919e-09+1j) (1+0j)
(-1-7.21919e-09j) (-1+0j)
(-0-1j) (-1+0j)
(1-0j) (-1+0j)
(-7.21919e-09+1j) (1+0j)
(-1-7.21919e-09j) (-1+0j)
(-0-1j) (-1+0j)
(1-0j) (-1+0j)
(-7.21919e-09+1j) (-1+0j)
(-1-7.21919e-09j) (1+0j)
(-0-1j) (-1+0j)
(1-0j) (1+0j)
(-7.21919e-09+1j) (1+0j)
(-1-7.21919e-09j) (1+0j)
(-0-1j) (1+0j)
(1-0j) (1+0j)
(-7.21919e-09+1j) (1+0j)
(-1-7.21919e-09j) (1+0j)
(-0-1j) (-1+0j)
(1-0j) (1+0j)
(-7.21919e-09+1j) (-1+0j)
(-1-7.21919e-09j) (-1+0j)
(-0-1j) (1+0j)
(1-0j) (-1+0j)
(-7.21919e-09+1j) (-1+0j)
(-1-7.21919e-09j) (-1+0j)
(-0-1j) (-1+0j)
(1-0j) (1+0j)
(-7.21919e-09+1j) (-1+0j)
(-1-7.21919e-09j) (-1+0j)
(-0-1j) (-1+0j)
(1-0j) (1+0j)
(-7.21919e-09+1j) (-1+0j)
(-1-7.21919e-09j) (1+0j)
(-0-1j) (1+0j)
(1-0j) (1+0j)
(-7.21919e-09+1j) (-1+0j)
(1+7.21919e-09j) (1+0j)
1j (1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (-1+0j)
1j (1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (-1+0j)
1j (1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (-1+0j)
1j (1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (1+0j)
1j (1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (1+0j)
1j (1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (-1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (-1+0j)
1j (-1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (-1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (-1+0j)
1j (-1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (-1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (-1+0j)
1j (1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (-1+0j)
1j (1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (-1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (-1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (-1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (-1+0j)
1j (1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (1+0j)
1j (1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (-1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (-1+0j)
1j (1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (-1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (-1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (1+0j)
1j (1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (-1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (-1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (-1+0j)
1j (1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (1+0j)
1j (1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (-1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (-1+0j)
1j (1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (-1+0j)
1j (-1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (-1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (-1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (-1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (1+0j)
(-1-7.21919e-09j) (1+0j)
(-0-1j) (-1+0j)
(1-0j) (-1+0j)
(-7.21919e-09+1j) (-1+0j)
(-1-7.21919e-09j) (-1+0j)
(-0-1j) (1+0j)
(1-0j) (-1+0j)
(-7.21919e-09+1j) (1+0j)
(-1-7.21919e-09j) (-1+0j)
(-0-1j) (-1+0j)
(1-0j) (-1+0j)
(-7.21919e-09+1j) (-1+0j)
(-1-7.21919e-09j) (-1+0j)
(-0-1j) (1+0j)
(1-0j) (1+0j)
(-7.21919e-09+1j) (-1+0j)
(-1-7.21919e-09j) (-1+0j)
(-0-1j) (-1+0j)
(1-0j) (1+0j)
(-7.21919e-09+1j) (-1+0j)
(-1-7.21919e-09j) (1+0j)
(-0-1j) (1+0j)
(1-0j) (1+0j)
(-7.21919e-09+1j) (1+0j)
(-1-7.21919e-09j) (1+0j)
(-0-1j) (-1+0j)
(1-0j) (1+0j)
(-7.21919e-09+1j) (-1+0j)
(-1-7.21919e-09j) (1+0j)
(-0-1j) (1+0j)
(1-0j) (1+0j)
(-7.21919e-09+1j) (-1+0j)
(-1-7.21919e-09j) (-1+0j)
(-0-1j) (-1+0j)
(1-0j) (1+0j)
(-7.21919e-09+1j) (-1+0j)
(-1-7.21919e-09j) (1+0j)
(-0-1j) (-1+0j)
(1-0j) (-1+0j)
(-7.21919e-09+1j) (-1+0j)
(-1-7.21919e-09j) (-1+0j)
(-0-1j) (-1+0j)
(1-0j) (1+0j)
(-7.21919e-09+1j) (-1+0j)
(-1-7.21919e-09j) (1+0j)
(-0-1j) (1+0j)
(1-0j) (-1+0j)
(-7.21919e-09+1j) (1+0j)
(-1-7.21919e-09j) (1+0j)
(-0-1j) (1+0j)
(1-0j) (1+0j)
(-7.21919e-09+1j) (1+0j)
(-1-7.21919e-09j) (-1+0j)
(-0-1j) (1+0j)
(1-0j) (-1+0j)
(-7.21919e-09+1j) (-1+0j)
(-1-7.21919e-09j) (-1+0j)
(-0-1j) (-1+0j)
(1-0j) (1+0j)
(-7.21919e-09+1j) (-1+0j)
(-1-7.21919e-09j) (-1+0j)
(-0-1j) (-1+0j)
(1-0j) (1+0j)
(-7.21919e-09+1j) (1+0j)
(1+7.21919e-09j) (-1+0j)
1j (-1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (1+0j)
1j (1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (1+0j)
1j (1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (1+0j)
1j (1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (1+0j)
1j (1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (-1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (1+0j)
1j (1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (-1+0j)
1j (-1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (-1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (1+0j)
1j (1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (1+0j)
1j (1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (1+0j)
1j (-1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (1+0j)
1j (1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (-1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (-1+0j)
1j (1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (1+0j)
1j (1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (-1+0j)
1j (1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (-1+0j)
1j (-1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (-1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (1+0j)
1j (1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (-1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
(1+7.21919e-09j) (1+0j)
1j (-1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (1+0j)
(-1+0j) (1+0j)
(7.21919e-09-1j) (1+0j)
(1+7.21919e-09j) (1+0j)
1j (-1+0j)
(-1+0j) (-1+0j)
(7.21919e-09-1j) (-1+0j)
